day	hour	value
0	0	9
0	1	0
0	2	1
0	3	9
0	4	1
0	5	6
0	6	7
0	7	5
0	8	5
0	9	7
0	10	0
0	11	5
0	12	8
0	13	8
0	14	1
0	15	7
0	16	4
0	17	6
0	18	9
0	19	4
0	20	1
0	21	6
0	22	6
0	23	7
0	24	5
0	25	9
0	26	1
0	27	7
0	28	2
0	29	1
0	30	5
0	31	9
0	32	8
0	33	5
0	34	9
0	35	8
0	36	3
0	37	5
0	38	7
0	39	9
0	40	5
0	41	0
0	42	7
0	43	3
0	44	7
0	45	1
0	46	1
0	47	7
0	48	9
0	49	0
0	50	6
0	51	1
0	52	1
0	53	2
0	54	1
0	55	1
0	56	9
0	57	1
0	58	6
0	59	2
0	60	3
0	61	9
0	62	4
0	63	9
0	64	5
0	65	6
0	66	6
0	67	4
0	68	8
0	69	1
0	70	7
0	71	7
0	72	8
0	73	0
0	74	8
0	75	5
0	76	9
0	77	7
0	78	0
0	79	1
0	80	8
0	81	6
0	82	9
0	83	4
0	84	4
0	85	9
0	86	1
0	87	6
0	88	1
0	89	3
0	90	3
0	91	5
0	92	1
0	93	1
0	94	1
0	95	6
0	96	8
0	97	9
0	98	5
0	99	6
1	0	9
1	1	4
1	2	7
1	3	3
1	4	5
1	5	9
1	6	7
1	7	9
1	8	7
1	9	5
1	10	7
1	11	4
1	12	2
1	13	9
1	14	9
1	15	5
1	16	9
1	17	1
1	18	7
1	19	9
1	20	3
1	21	4
1	22	5
1	23	2
1	24	5
1	25	8
1	26	8
1	27	3
1	28	1
1	29	4
1	30	5
1	31	3
1	32	1
1	33	3
1	34	7
1	35	0
1	36	9
1	37	4
1	38	4
1	39	9
1	40	5
1	41	8
1	42	2
1	43	6
1	44	5
1	45	4
1	46	6
1	47	6
1	48	6
1	49	4
1	50	7
1	51	3
1	52	9
1	53	3
1	54	7
1	55	8
1	56	7
1	57	8
1	58	3
1	59	0
1	60	5
1	61	0
1	62	1
1	63	2
1	64	1
1	65	7
1	66	3
1	67	5
1	68	5
1	69	0
1	70	0
1	71	2
1	72	8
1	73	9
1	74	6
1	75	5
1	76	3
1	77	2
1	78	5
1	79	0
1	80	0
1	81	4
1	82	3
1	83	2
1	84	5
1	85	8
1	86	0
1	87	6
1	88	3
1	89	6
1	90	9
1	91	3
1	92	3
1	93	7
1	94	0
1	95	4
1	96	3
1	97	5
1	98	5
1	99	2
2	0	6
2	1	4
2	2	6
2	3	8
2	4	7
2	5	0
2	6	1
2	7	7
2	8	8
2	9	2
2	10	3
2	11	3
2	12	9
2	13	0
2	14	5
2	15	9
2	16	1
2	17	5
2	18	5
2	19	3
2	20	0
2	21	4
2	22	7
2	23	6
2	24	8
2	25	1
2	26	0
2	27	7
2	28	5
2	29	1
2	30	2
2	31	3
2	32	4
2	33	2
2	34	0
2	35	8
2	36	8
2	37	4
2	38	7
2	39	8
2	40	8
2	41	0
2	42	3
2	43	7
2	44	1
2	45	2
2	46	9
2	47	7
2	48	2
2	49	9
2	50	2
2	51	3
2	52	2
2	53	2
2	54	4
2	55	0
2	56	7
2	57	8
2	58	9
2	59	4
2	60	9
