day	hour	value
1	1	27
1	2	7
1	3	44
1	4	27
1	5	50
1	6	97
1	7	0
1	8	6
1	9	81
1	10	46
1	11	25
1	12	24
1	13	64
1	14	53
1	15	90
1	16	8
1	17	58
1	18	58
1	19	72
1	20	23
1	21	99
1	22	79
1	23	49
1	24	35
1	25	83
1	26	28
1	27	51
1	28	18
1	29	35
1	30	76
1	31	20
1	32	4
1	33	70
1	34	58
1	35	95
1	36	50
1	37	84
1	38	39
1	39	76
1	40	91
1	41	9
1	42	78
1	43	82
1	44	42
1	45	65
1	46	76
1	47	6
1	48	58
1	49	76
1	50	99
1	51	34
1	52	39
1	53	26
1	54	96
1	55	99
1	56	45
1	57	96
1	58	52
1	59	0
1	60	77
1	61	27
1	62	97
1	63	48
1	64	58
1	65	93
1	66	63
1	67	60
1	68	85
1	69	22
1	70	96
1	71	51
1	72	67
1	73	85
1	74	1
1	75	13
1	76	17
1	77	22
1	78	78
1	79	30
1	80	6
1	81	93
1	82	63
1	83	31
1	84	17
1	85	47
1	86	98
1	87	52
1	88	38
1	89	19
1	90	20
1	91	16
1	92	92
1	93	67
1	94	43
1	95	59
1	96	84
1	97	71
1	98	64
1	99	57
1	100	88
2	1	33
2	2	34
2	3	56
2	4	43
2	5	51
2	6	67
2	7	6
2	8	93
2	9	59
2	10	32
2	11	63
2	12	92
2	13	18
2	14	0
2	15	61
2	16	20
2	17	70
2	18	25
2	19	25
2	20	26
2	21	3
2	22	46
2	23	3
2	24	5
2	25	3
2	26	43
2	27	50
2	28	48
2	29	17
2	30	10
2	31	42
2	32	21
2	33	47
2	34	85
2	35	0
2	36	20
2	37	40
2	38	41
2	39	48
2	40	46
2	41	2
2	42	33
2	43	62
2	44	35
2	45	49
2	46	71
2	47	1
2	48	84
2	49	60
2	50	19
2	51	72
2	52	21
2	53	92
2	54	89
2	55	2
2	56	70
2	57	38
2	58	16
2	59	80
2	60	45
2	61	65
2	62	67
2	63	46
2	64	7
2	65	30
2	66	23
2	67	1
2	68	74
2	69	1
2	70	60
2	71	83
2	72	29
2	73	84
2	74	83
2	75	70
2	76	29
2	77	40
2	78	66
2	79	71
2	80	7
2	81	46
2	82	54
2	83	64
2	84	50
2	85	97
2	86	99
2	87	49
2	88	97
2	89	88
2	90	89
2	91	94
2	92	12
2	93	98
2	94	13
2	95	13
2	96	41
2	97	54
2	98	98
2	99	8
2	100	58
3	1	28
3	2	79
3	3	59
3	4	71
3	5	80
3	6	71
3	7	78
3	8	31
3	9	58
3	10	5
3	11	95
3	12	17
3	13	73
3	14	56
3	15	8
3	16	8
3	17	78
3	18	41
3	19	67
3	20	38
3	21	71
3	22	29
3	23	62
3	24	94
3	25	6
3	26	43
3	27	58
3	28	89
3	29	43
3	30	17
3	31	39
3	32	91
3	33	13
3	34	34
3	35	91
3	36	64
3	37	22
3	38	18
3	39	31
3	40	90
3	41	80
3	42	73
3	43	86
3	44	98
3	45	73
3	46	45
3	47	46
3	48	42
3	49	15
3	50	51
3	51	63
3	52	54
3	53	32
3	54	19
3	55	12
3	56	22
3	57	38
3	58	88
3	59	23
3	60	53
3	61	86
3	62	43
3	63	67
3	64	24
3	65	73
3	66	43
3	67	33
3	68	85
3	69	14
3	70	60
3	71	77
3	72	96
3	73	21
3	74	94
3	75	4
3	76	17
3	77	88
3	78	2
3	79	75
3	80	18
3	81	92
3	82	1
3	83	50
3	84	2
3	85	72
3	86	26
3	87	11
3	88	64
3	89	63
3	90	23
3	91	68
3	92	90
3	93	23
3	94	72
3	95	2
3	96	82
3	97	88
3	98	10
3	99	76
3	100	23
4	1	81
4	2	67
4	3	15
4	4	4
4	5	65
4	6	47
4	7	27
4	8	20
4	9	55
4	10	34
4	11	10
4	12	18
4	13	57
4	14	55
4	15	18
4	16	22
4	17	5
4	18	94
4	19	22
4	20	80
4	21	89
4	22	18
4	23	60
4	24	32
4	25	84
4	26	71
4	27	33
4	28	61
4	29	36
4	30	21
4	31	75
4	32	38
4	33	74
4	34	54
4	35	67
4	36	90
4	37	57
4	38	14
4	39	75
4	40	70
4	41	19
4	42	79
4	43	61
4	44	97
4	45	30
4	46	85
4	47	40
4	48	71
4	49	53
4	50	40
4	51	85
4	52	77
4	53	19
4	54	18
4	55	65
4	56	84
4	57	92
4	58	74
4	59	22
4	60	95
4	61	4
4	62	41
4	63	8
4	64	90
4	65	68
4	66	3
4	67	26
4	68	31
4	69	19
4	70	80
4	71	76
4	72	66
4	73	68
4	74	49
4	75	78
4	76	36
4	77	22
4	78	83
4	79	79
4	80	58
4	81	7
4	82	35
4	83	2
4	84	58
4	85	98
4	86	99
4	87	28
4	88	21
4	89	87
4	90	86
4	91	66
4	92	84
4	93	37
4	94	86
4	95	72
4	96	49
4	97	17
4	98	8
4	99	7
4	100	99
5	1	30
5	2	87
5	3	15
5	4	98
5	5	98
5	6	52
5	7	1
5	8	51
5	9	54
5	10	68
5	11	43
5	12	61
5	13	46
5	14	69
5	15	21
5	16	58
5	17	24
5	18	46
5	19	66
